,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
0,Adelie,2,39.1,18.7,181,3750,1
1,Adelie,2,39.5,17.4,186,3800,0
2,Adelie,2,40.3,18.0,195,3250,0
3,Adelie,2,36.7,19.3,193,3450,0
4,Adelie,2,39.3,20.6,190,3650,1
5,Adelie,2,38.9,17.8,181,3625,0
6,Adelie,2,39.2,19.6,195,4675,1
7,Adelie,2,41.1,17.6,182,3200,0
8,Adelie,2,38.6,21.2,191,3800,1
9,Adelie,2,34.6,21.1,198,4400,1
10,Adelie,2,36.6,17.8,185,3700,0
11,Adelie,2,38.7,19.0,195,3450,0
12,Adelie,2,42.5,20.7,197,4500,1
13,Adelie,2,34.4,18.4,184,3325,0
14,Adelie,2,46.0,21.5,194,4200,1
15,Adelie,0,37.8,18.3,174,3400,0
16,Adelie,0,37.7,18.7,180,3600,1
17,Adelie,0,35.9,19.2,189,3800,0
18,Adelie,0,38.2,18.1,185,3950,1
19,Adelie,0,38.8,17.2,180,3800,1
20,Adelie,0,35.3,18.9,187,3800,0
21,Adelie,0,40.6,18.6,183,3550,1
22,Adelie,0,40.5,17.9,187,3200,0
23,Adelie,0,37.9,18.6,172,3150,0
24,Adelie,0,40.5,18.9,180,3950,1
25,Adelie,1,39.5,16.7,178,3250,0
26,Adelie,1,37.2,18.1,178,3900,1
27,Adelie,1,39.5,17.8,188,3300,0
28,Adelie,1,40.9,18.9,184,3900,1
29,Adelie,1,36.4,17.0,195,3325,0
30,Adelie,1,39.2,21.1,196,4150,1
31,Adelie,1,38.8,20.0,190,3950,1
32,Adelie,1,42.2,18.5,180,3550,0
33,Adelie,1,37.6,19.3,181,3300,0
34,Adelie,1,39.8,19.1,184,4650,1
35,Adelie,1,36.5,18.0,182,3150,0
36,Adelie,1,40.8,18.4,195,3900,1
37,Adelie,1,36.0,18.5,186,3100,0
38,Adelie,1,44.1,19.7,196,4400,1
39,Adelie,1,37.0,16.9,185,3000,0
40,Adelie,1,39.6,18.8,190,4600,1
41,Adelie,1,41.1,19.0,182,3425,1
42,Adelie,1,36.0,17.9,190,3450,0
43,Adelie,1,42.3,21.2,191,4150,1
44,Adelie,0,39.6,17.7,186,3500,0
45,Adelie,0,40.1,18.9,188,4300,1
46,Adelie,0,35.0,17.9,190,3450,0
47,Adelie,0,42.0,19.5,200,4050,1
48,Adelie,0,34.5,18.1,187,2900,0
49,Adelie,0,41.4,18.6,191,3700,1
50,Adelie,0,39.0,17.5,186,3550,0
51,Adelie,0,40.6,18.8,193,3800,1
52,Adelie,0,36.5,16.6,181,2850,0
53,Adelie,0,37.6,19.1,194,3750,1
54,Adelie,0,35.7,16.9,185,3150,0
55,Adelie,0,41.3,21.1,195,4400,1
56,Adelie,0,37.6,17.0,185,3600,0
57,Adelie,0,41.1,18.2,192,4050,1
58,Adelie,0,36.4,17.1,184,2850,0
59,Adelie,0,41.6,18.0,192,3950,1
60,Adelie,0,35.5,16.2,195,3350,0
61,Adelie,0,41.1,19.1,188,4100,1
62,Adelie,2,35.9,16.6,190,3050,0
63,Adelie,2,41.8,19.4,198,4450,1
64,Adelie,2,33.5,19.0,190,3600,0
65,Adelie,2,39.7,18.4,190,3900,1
66,Adelie,2,39.6,17.2,196,3550,0
67,Adelie,2,45.8,18.9,197,4150,1
68,Adelie,2,35.5,17.5,190,3700,0
69,Adelie,2,42.8,18.5,195,4250,1
70,Adelie,2,40.9,16.8,191,3700,0
71,Adelie,2,37.2,19.4,184,3900,1
72,Adelie,2,36.2,16.1,187,3550,0
73,Adelie,2,42.1,19.1,195,4000,1
74,Adelie,2,34.6,17.2,189,3200,0
75,Adelie,2,42.9,17.6,196,4700,1
76,Adelie,2,36.7,18.8,187,3800,0
77,Adelie,2,35.1,19.4,193,4200,1
78,Adelie,1,37.3,17.8,191,3350,0
79,Adelie,1,41.3,20.3,194,3550,1
80,Adelie,1,36.3,19.5,190,3800,1
81,Adelie,1,36.9,18.6,189,3500,0
82,Adelie,1,38.3,19.2,189,3950,1
83,Adelie,1,38.9,18.8,190,3600,0
84,Adelie,1,35.7,18.0,202,3550,0
85,Adelie,1,41.1,18.1,205,4300,1
86,Adelie,1,34.0,17.1,185,3400,0
87,Adelie,1,39.6,18.1,186,4450,1
88,Adelie,1,36.2,17.3,187,3300,0
89,Adelie,1,40.8,18.9,208,4300,1
90,Adelie,1,38.1,18.6,190,3700,0
91,Adelie,1,40.3,18.5,196,4350,1
92,Adelie,1,33.1,16.1,178,2900,0
93,Adelie,1,43.2,18.5,192,4100,1
94,Adelie,0,35.0,17.9,192,3725,0
95,Adelie,0,41.0,20.0,203,4725,1
96,Adelie,0,37.7,16.0,183,3075,0
97,Adelie,0,37.8,20.0,190,4250,1
98,Adelie,0,37.9,18.6,193,2925,0
99,Adelie,0,39.7,18.9,184,3550,1
100,Adelie,0,38.6,17.2,199,3750,0
101,Adelie,0,38.2,20.0,190,3900,1
102,Adelie,0,38.1,17.0,181,3175,0
103,Adelie,0,43.2,19.0,197,4775,1
104,Adelie,0,38.1,16.5,198,3825,0
105,Adelie,0,45.6,20.3,191,4600,1
106,Adelie,0,39.7,17.7,193,3200,0
107,Adelie,0,42.2,19.5,197,4275,1
108,Adelie,0,39.6,20.7,191,3900,0
109,Adelie,0,42.7,18.3,196,4075,1
110,Adelie,2,38.6,17.0,188,2900,0
111,Adelie,2,37.3,20.5,199,3775,1
112,Adelie,2,35.7,17.0,189,3350,0
113,Adelie,2,41.1,18.6,189,3325,1
114,Adelie,2,36.2,17.2,187,3150,0
115,Adelie,2,37.7,19.8,198,3500,1
116,Adelie,2,40.2,17.0,176,3450,0
117,Adelie,2,41.4,18.5,202,3875,1
118,Adelie,2,35.2,15.9,186,3050,0
119,Adelie,2,40.6,19.0,199,4000,1
120,Adelie,2,38.8,17.6,191,3275,0
121,Adelie,2,41.5,18.3,195,4300,1
122,Adelie,2,39.0,17.1,191,3050,0
123,Adelie,2,44.1,18.0,210,4000,1
124,Adelie,2,38.5,17.9,190,3325,0
125,Adelie,2,43.1,19.2,197,3500,1
126,Adelie,1,36.8,18.5,193,3500,0
127,Adelie,1,37.5,18.5,199,4475,1
128,Adelie,1,38.1,17.6,187,3425,0
129,Adelie,1,41.1,17.5,190,3900,1
130,Adelie,1,35.6,17.5,191,3175,0
131,Adelie,1,40.2,20.1,200,3975,1
132,Adelie,1,37.0,16.5,185,3400,0
133,Adelie,1,39.7,17.9,193,4250,1
134,Adelie,1,40.2,17.1,193,3400,0
135,Adelie,1,40.6,17.2,187,3475,1
136,Adelie,1,32.1,15.5,188,3050,0
137,Adelie,1,40.7,17.0,190,3725,1
138,Adelie,1,37.3,16.8,192,3000,0
139,Adelie,1,39.0,18.7,185,3650,1
140,Adelie,1,39.2,18.6,190,4250,1
141,Adelie,1,36.6,18.4,184,3475,0
142,Adelie,1,36.0,17.8,195,3450,0
143,Adelie,1,37.8,18.1,193,3750,1
144,Adelie,1,36.0,17.1,187,3700,0
145,Adelie,1,41.5,18.5,201,4000,1
146,Chinstrap,1,46.5,17.9,192,3500,0
147,Chinstrap,1,50.0,19.5,196,3900,1
148,Chinstrap,1,51.3,19.2,193,3650,1
149,Chinstrap,1,45.4,18.7,188,3525,0
150,Chinstrap,1,52.7,19.8,197,3725,1
151,Chinstrap,1,45.2,17.8,198,3950,0
152,Chinstrap,1,46.1,18.2,178,3250,0
153,Chinstrap,1,51.3,18.2,197,3750,1
154,Chinstrap,1,46.0,18.9,195,4150,0
155,Chinstrap,1,51.3,19.9,198,3700,1
156,Chinstrap,1,46.6,17.8,193,3800,0
157,Chinstrap,1,51.7,20.3,194,3775,1
158,Chinstrap,1,47.0,17.3,185,3700,0
159,Chinstrap,1,52.0,18.1,201,4050,1
160,Chinstrap,1,45.9,17.1,190,3575,0
161,Chinstrap,1,50.5,19.6,201,4050,1
162,Chinstrap,1,50.3,20.0,197,3300,1
163,Chinstrap,1,58.0,17.8,181,3700,0
164,Chinstrap,1,46.4,18.6,190,3450,0
165,Chinstrap,1,49.2,18.2,195,4400,1
166,Chinstrap,1,42.4,17.3,181,3600,0
167,Chinstrap,1,48.5,17.5,191,3400,1
168,Chinstrap,1,43.2,16.6,187,2900,0
169,Chinstrap,1,50.6,19.4,193,3800,1
170,Chinstrap,1,46.7,17.9,195,3300,0
171,Chinstrap,1,52.0,19.0,197,4150,1
172,Chinstrap,1,50.5,18.4,200,3400,0
173,Chinstrap,1,49.5,19.0,200,3800,1
174,Chinstrap,1,46.4,17.8,191,3700,0
175,Chinstrap,1,52.8,20.0,205,4550,1
176,Chinstrap,1,40.9,16.6,187,3200,0
177,Chinstrap,1,54.2,20.8,201,4300,1
178,Chinstrap,1,42.5,16.7,187,3350,0
179,Chinstrap,1,51.0,18.8,203,4100,1
180,Chinstrap,1,49.7,18.6,195,3600,1
181,Chinstrap,1,47.5,16.8,199,3900,0
182,Chinstrap,1,47.6,18.3,195,3850,0
183,Chinstrap,1,52.0,20.7,210,4800,1
184,Chinstrap,1,46.9,16.6,192,2700,0
185,Chinstrap,1,53.5,19.9,205,4500,1
186,Chinstrap,1,49.0,19.5,210,3950,1
187,Chinstrap,1,46.2,17.5,187,3650,0
188,Chinstrap,1,50.9,19.1,196,3550,1
189,Chinstrap,1,45.5,17.0,196,3500,0
190,Chinstrap,1,50.9,17.9,196,3675,0
191,Chinstrap,1,50.8,18.5,201,4450,1
192,Chinstrap,1,50.1,17.9,190,3400,0
193,Chinstrap,1,49.0,19.6,212,4300,1
194,Chinstrap,1,51.5,18.7,187,3250,1
195,Chinstrap,1,49.8,17.3,198,3675,0
196,Chinstrap,1,48.1,16.4,199,3325,0
197,Chinstrap,1,51.4,19.0,201,3950,1
198,Chinstrap,1,45.7,17.3,193,3600,0
199,Chinstrap,1,50.7,19.7,203,4050,1
200,Chinstrap,1,42.5,17.3,187,3350,0
201,Chinstrap,1,52.2,18.8,197,3450,1
202,Chinstrap,1,45.2,16.6,191,3250,0
203,Chinstrap,1,49.3,19.9,203,4050,1
204,Chinstrap,1,50.2,18.8,202,3800,1
205,Chinstrap,1,45.6,19.4,194,3525,0
206,Chinstrap,1,51.9,19.5,206,3950,1
207,Chinstrap,1,46.8,16.5,189,3650,0
208,Chinstrap,1,45.7,17.0,195,3650,0
209,Chinstrap,1,55.8,19.8,207,4000,1
210,Chinstrap,1,43.5,18.1,202,3400,0
211,Chinstrap,1,49.6,18.2,193,3775,1
212,Chinstrap,1,50.8,19.0,210,4100,1
213,Chinstrap,1,50.2,18.7,198,3775,0
214,Gentoo,0,46.1,13.2,211,4500,0
215,Gentoo,0,50.0,16.3,230,5700,1
216,Gentoo,0,48.7,14.1,210,4450,0
217,Gentoo,0,50.0,15.2,218,5700,1
218,Gentoo,0,47.6,14.5,215,5400,1
219,Gentoo,0,46.5,13.5,210,4550,0
220,Gentoo,0,45.4,14.6,211,4800,0
221,Gentoo,0,46.7,15.3,219,5200,1
222,Gentoo,0,43.3,13.4,209,4400,0
223,Gentoo,0,46.8,15.4,215,5150,1
224,Gentoo,0,40.9,13.7,214,4650,0
225,Gentoo,0,49.0,16.1,216,5550,1
226,Gentoo,0,45.5,13.7,214,4650,0
227,Gentoo,0,48.4,14.6,213,5850,1
228,Gentoo,0,45.8,14.6,210,4200,0
229,Gentoo,0,49.3,15.7,217,5850,1
230,Gentoo,0,42.0,13.5,210,4150,0
231,Gentoo,0,49.2,15.2,221,6300,1
232,Gentoo,0,46.2,14.5,209,4800,0
233,Gentoo,0,48.7,15.1,222,5350,1
234,Gentoo,0,50.2,14.3,218,5700,1
235,Gentoo,0,45.1,14.5,215,5000,0
236,Gentoo,0,46.5,14.5,213,4400,0
237,Gentoo,0,46.3,15.8,215,5050,1
238,Gentoo,0,42.9,13.1,215,5000,0
239,Gentoo,0,46.1,15.1,215,5100,1
240,Gentoo,0,47.8,15.0,215,5650,1
241,Gentoo,0,48.2,14.3,210,4600,0
242,Gentoo,0,50.0,15.3,220,5550,1
243,Gentoo,0,47.3,15.3,222,5250,1
244,Gentoo,0,42.8,14.2,209,4700,0
245,Gentoo,0,45.1,14.5,207,5050,0
246,Gentoo,0,59.6,17.0,230,6050,1
247,Gentoo,0,49.1,14.8,220,5150,0
248,Gentoo,0,48.4,16.3,220,5400,1
249,Gentoo,0,42.6,13.7,213,4950,0
250,Gentoo,0,44.4,17.3,219,5250,1
251,Gentoo,0,44.0,13.6,208,4350,0
252,Gentoo,0,48.7,15.7,208,5350,1
253,Gentoo,0,42.7,13.7,208,3950,0
254,Gentoo,0,49.6,16.0,225,5700,1
255,Gentoo,0,45.3,13.7,210,4300,0
256,Gentoo,0,49.6,15.0,216,4750,1
257,Gentoo,0,50.5,15.9,222,5550,1
258,Gentoo,0,43.6,13.9,217,4900,0
259,Gentoo,0,45.5,13.9,210,4200,0
260,Gentoo,0,50.5,15.9,225,5400,1
261,Gentoo,0,44.9,13.3,213,5100,0
262,Gentoo,0,45.2,15.8,215,5300,1
263,Gentoo,0,46.6,14.2,210,4850,0
264,Gentoo,0,48.5,14.1,220,5300,1
265,Gentoo,0,45.1,14.4,210,4400,0
266,Gentoo,0,50.1,15.0,225,5000,1
267,Gentoo,0,46.5,14.4,217,4900,0
268,Gentoo,0,45.0,15.4,220,5050,1
269,Gentoo,0,43.8,13.9,208,4300,0
270,Gentoo,0,45.5,15.0,220,5000,1
271,Gentoo,0,43.2,14.5,208,4450,0
272,Gentoo,0,50.4,15.3,224,5550,1
273,Gentoo,0,45.3,13.8,208,4200,0
274,Gentoo,0,46.2,14.9,221,5300,1
275,Gentoo,0,45.7,13.9,214,4400,0
276,Gentoo,0,54.3,15.7,231,5650,1
277,Gentoo,0,45.8,14.2,219,4700,0
278,Gentoo,0,49.8,16.8,230,5700,1
279,Gentoo,0,49.5,16.2,229,5800,1
280,Gentoo,0,43.5,14.2,220,4700,0
281,Gentoo,0,50.7,15.0,223,5550,1
282,Gentoo,0,47.7,15.0,216,4750,0
283,Gentoo,0,46.4,15.6,221,5000,1
284,Gentoo,0,48.2,15.6,221,5100,1
285,Gentoo,0,46.5,14.8,217,5200,0
286,Gentoo,0,46.4,15.0,216,4700,0
287,Gentoo,0,48.6,16.0,230,5800,1
288,Gentoo,0,47.5,14.2,209,4600,0
289,Gentoo,0,51.1,16.3,220,6000,1
290,Gentoo,0,45.2,13.8,215,4750,0
291,Gentoo,0,45.2,16.4,223,5950,1
292,Gentoo,0,49.1,14.5,212,4625,0
293,Gentoo,0,52.5,15.6,221,5450,1
294,Gentoo,0,47.4,14.6,212,4725,0
295,Gentoo,0,50.0,15.9,224,5350,1
296,Gentoo,0,44.9,13.8,212,4750,0
297,Gentoo,0,50.8,17.3,228,5600,1
298,Gentoo,0,43.4,14.4,218,4600,0
299,Gentoo,0,51.3,14.2,218,5300,1
300,Gentoo,0,47.5,14.0,212,4875,0
301,Gentoo,0,52.1,17.0,230,5550,1
302,Gentoo,0,47.5,15.0,218,4950,0
303,Gentoo,0,52.2,17.1,228,5400,1
304,Gentoo,0,45.5,14.5,212,4750,0
305,Gentoo,0,49.5,16.1,224,5650,1
306,Gentoo,0,44.5,14.7,214,4850,0
307,Gentoo,0,50.8,15.7,226,5200,1
308,Gentoo,0,49.4,15.8,216,4925,1
309,Gentoo,0,46.9,14.6,222,4875,0
310,Gentoo,0,48.4,14.4,203,4625,0
311,Gentoo,0,51.1,16.5,225,5250,1
312,Gentoo,0,48.5,15.0,219,4850,0
313,Gentoo,0,55.9,17.0,228,5600,1
314,Gentoo,0,47.2,15.5,215,4975,0
315,Gentoo,0,49.1,15.0,228,5500,1
316,Gentoo,0,46.8,16.1,215,5500,1
317,Gentoo,0,41.7,14.7,210,4700,0
318,Gentoo,0,53.4,15.8,219,5500,1
319,Gentoo,0,43.3,14.0,208,4575,0
320,Gentoo,0,48.1,15.1,209,5500,1
321,Gentoo,0,50.5,15.2,216,5000,0
322,Gentoo,0,49.8,15.9,229,5950,1
323,Gentoo,0,43.5,15.2,213,4650,0
324,Gentoo,0,51.5,16.3,230,5500,1
325,Gentoo,0,46.2,14.1,217,4375,0
326,Gentoo,0,55.1,16.0,230,5850,1
327,Gentoo,0,48.8,16.2,222,6000,1
328,Gentoo,0,47.2,13.7,214,4925,0
329,Gentoo,0,46.8,14.3,215,4850,0
330,Gentoo,0,50.4,15.7,222,5750,1
331,Gentoo,0,45.2,14.8,212,5200,0
332,Gentoo,0,49.9,16.1,213,5400,1
